Region,12 mo Avg Inflation,month_year
West,8.3,September 2022
West,3.9,September 2023
West,2.1,September 2024
West,1.2,October 2020
West,6,October 2021
West,8.1,October 2022
West,3.3,October 2023
West,2.1,October 2024
West,1.4,November 2020
West,6.5,November 2021
West,7.1,November 2022
West,3.3,November 2023
West,NA,November 2024
West,1.5,December 2020
West,7.1,December 2021
West,6.2,December 2022
West,3.6,December 2023
West,NA,December 2024
